Verdict,User,Merchant,Category,Pattern_Detected,AI_Confidence,AI_Reason,Start_Date,Last_Txn
FLAGGED,user_2271,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-31,2023-12-28
FLAGGED,user_7508,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-23,2023-11-20
FLAGGED,user_1502,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-11-12,2024-11-12
FLAGGED,user_6878,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-01-23,2024-12-04
FLAGGED,user_1502,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-13,2024-01-10
FLAGGED,user_4258,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-03,2023-11-30
FLAGGED,user_3869,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-30,2023-12-27
FLAGGED,user_1494,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-25,2023-12-23
FLAGGED,user_9364,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_5795,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-08-30,2024-05-03
FLAGGED,user_5032,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-20,2023-12-18
FLAGGED,user_2552,BingeWatch,Entertainment,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-08-20,2024-07-22
FLAGGED,user_4567,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-23,2023-12-21
FLAGGED,user_5779,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-16,2023-12-13
FLAGGED,user_8788,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-09-03,2024-08-28
FLAGGED,user_3042,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-04,2024-01-01
FLAGGED,user_8788,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_9367,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-04,2023-11-01
FLAGGED,user_2889,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-29,2023-12-26
FLAGGED,user_6876,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-09,2023-12-07
FLAGGED,user_6262,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_2822,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_5821,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-25,2024-01-22
FLAGGED,user_3911,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-18,2023-11-15
FLAGGED,user_7962,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-07-05,2024-11-22
FLAGGED,user_7522,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-04,2023-12-01
FLAGGED,user_2564,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-09-27,2024-08-26
FLAGGED,user_9178,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-28,2023-12-25
FLAGGED,user_4702,BingeWatch,Entertainment,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-11-24,2024-09-12
FLAGGED,user_3911,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-03-31,2024-04-04
FLAGGED,user_7517,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-07,2023-12-05
FLAGGED,user_2564,CellConnect,Utilities,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-02-02,2024-09-24
FLAGGED,user_3911,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-16,2024-01-13
FLAGGED,user_1511,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-10,2023-12-07
FLAGGED,user_6695,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-22,2024-01-19
